"dt","region_code","operation_type","org_count","assortment","count_brand","cnt"
2022-09-11,"27",Маркировка остатков,1,1,1,1
2022-02-23,"66",Возврат,4,32,25,41
2022-06-01,"77",Возврат,21,196,61,313
2022-08-12,"25",Возврат,3,3,3,3
2022-04-02,"53",Маркировка остатков,1,1,1,1
2021-11-23,"39",Маркировка остатков,1,1,1,1
2021-11-25,"16",РФ,1,3,2,10784
2022-11-01,"55",Перемаркировка,2,3,3,3
2022-05-08,"24",Возврат,1,1,1,1
2022-06-14,"56",Маркировка остатков,1,1,1,1
2022-11-08,"76",Возврат,1,1,1,1
2022-01-29,"26",Возврат,1,1,1,1
2022-06-13,"23",РФ,1,1,1,1
2022-03-22,"50",Импорт. ЕАЭС,1,84,1,3088
2022-01-13,"42",Возврат,1,2,1,2
2022-09-16,"52",Возврат,2,3,2,3
2022-04-09,"53",Возврат,1,2,2,2
2022-05-16,"13",Возврат,1,1,1,1
2021-12-20,"75",Маркировка остатков,2,2,2,5
2022-03-03,"51",Возврат,1,1,1,1
2022-10-26,"78",Импорт. ЕАЭС,1,12,1,330
2021-12-05,"02",Возврат,2,2,1,2
2022-01-24,"51",Возврат,1,1,1,1
2022-07-01,"53",Перемаркировка,1,2,2,2
2022-10-18,"28",Перемаркировка,1,1,1,1
2022-04-11,"35",Маркировка остатков,1,1,1,1
2021-12-31,"02",Возврат,7,9,5,10
2022-04-20,"13",Возврат,1,1,1,1
2022-07-19,"50",Маркировка остатков,4,4,2,6
2022-09-27,"12",Возврат,1,1,1,1
2022-11-15,"64",Перемаркировка,1,1,1,1
2022-08-17,"52",Возврат,1,1,1,1
2022-05-13,"53",Возврат,1,1,1,1
2022-02-24,"40",Перемаркировка,1,1,1,1
2022-02-20,"11",Возврат,1,1,1,1
2022-02-28,"26",Возврат,1,2,2,2
2022-11-05,"36",Возврат,1,1,1,1
2022-05-21,"64",Возврат,1,1,1,1
2022-01-30,"66",Перемаркировка,1,4,4,4
2022-09-19,"25",Возврат,2,2,2,2
2022-07-09,"77",Возврат,20,161,38,279
2022-02-02,"76",Маркировка остатков,1,2,2,2
2022-02-22,"16",Маркировка остатков,3,8,3,8
2022-01-16,"66",Возврат,3,18,14,19
2021-12-07,"65",Перемаркировка,1,1,1,489
2022-08-07,"66",Перемаркировка,3,5,5,5
2021-12-22,"24",Маркировка остатков,4,6,2,9
2022-03-23,"51",Перемаркировка,1,2,2,2
2022-04-11,"01",Импорт. ЕАЭС,1,21,1,1122
2022-07-25,"19",Возврат,1,1,1,1
2022-06-14,"59",Возврат,1,1,1,1
2022-10-27,"39",РФ,1,5,4,16
2022-11-21,"78",РФ,3,10,3,96
2022-09-02,"16",РФ,1,11,2,7886
2022-05-08,"50",Перемаркировка,1,1,1,1
2022-05-03,"77",Перемаркировка,4,37,16,104
2022-09-09,"76",Маркировка остатков,1,1,1,1
2022-04-28,"77",Импорт. Не ЕАЭС,6,20,11,165
2022-06-30,"59",Перемаркировка,6,8,8,28
2021-11-29,"12",Маркировка остатков,1,47,11,83
2022-04-12,"78",Маркировка остатков,1,1,1,1
2022-03-18,"77",Маркировка остатков,5,16,9,23
2022-10-06,"67",Импорт. ЕАЭС,1,3,1,19
2021-12-19,"72",Маркировка остатков,1,1,1,3
2022-09-15,"50",Импорт. ЕАЭС,1,10,1,5003
2022-05-26,"32",Перемаркировка,1,1,1,1
2022-05-20,"91",Маркировка остатков,1,13,9,25
2021-12-23,"50",РФ,6,176,8,132982
2022-11-02,"23",Перемаркировка,1,1,1,10
2022-07-14,"77",РФ,4,85,5,599
2022-11-15,"23",Импорт. Не ЕАЭС,1,4,1,20
2022-09-22,"20",РФ,1,8,1,20
2022-04-14,"78",Возврат,5,19,19,20
2022-05-11,"38",Возврат,1,1,1,1
2022-07-11,"33",Перемаркировка,1,1,1,1
2021-12-25,"23",Импорт. Не ЕАЭС,2,9,2,520
2022-04-24,"03",Маркировка остатков,1,1,1,1
2022-03-10,"14",Возврат,1,1,1,1
2022-06-08,"66",Маркировка остатков,1,2,2,2
2022-07-27,"77",Маркировка остатков,1,2,2,2
2021-12-22,"23",Перемаркировка,2,44,4,50
2022-03-14,"91",Возврат,1,1,1,1
2022-03-29,"16",Возврат,2,2,2,2
2022-02-22,"77",Принято от физического лица,1,1,1,1
2022-02-15,"54",Возврат,1,2,1,2
2022-04-05,"16",Перемаркировка,1,13,10,17
2022-02-07,"63",Возврат,3,8,1,12
2022-07-19,"72",Возврат,1,1,1,1
2021-12-04,"22",Перемаркировка,1,4,1,5
2022-03-21,"21",Возврат,2,2,1,2
2022-03-23,"16",Импорт. Не ЕАЭС,1,1,1,2
2022-05-03,"61",Возврат,1,1,1,1
2022-11-19,"33",Возврат,1,1,1,1
2022-01-15,"45",Маркировка остатков,1,1,1,1
2022-06-12,"32",Возврат,1,2,1,2
2021-11-24,"25",Маркировка остатков,1,79,45,1146
2022-03-18,"23",Возврат,4,33,24,50
2022-04-05,"05",Маркировка остатков,1,1,1,1
2022-02-12,"23",Возврат,3,42,24,56
2021-12-18,"70",Возврат,2,2,2,2
2021-11-29,"20",РФ,1,9,1,1750
2022-07-28,"50",РФ,7,103,11,102769
2022-04-03,"61",Возврат,1,2,1,2
2022-06-27,"60",Маркировка остатков,1,1,1,1
2022-04-28,"21",Возврат,1,1,1,1
2022-05-06,"16",Возврат,1,1,1,1
2022-09-02,"57",Возврат,1,1,1,1
2022-07-24,"05",Возврат,1,3,1,3
2022-03-26,"56",Возврат,1,1,1,1
2021-12-01,"43",Маркировка остатков,2,17,2,118
2022-03-20,"26",Маркировка остатков,1,1,1,1
2021-12-26,"47",Возврат,3,4,3,4
2022-01-12,"78",Перемаркировка,3,98,41,211
2022-11-15,"58",Маркировка остатков,2,2,2,2
2021-12-21,"23",Маркировка остатков,4,4,3,6
2022-10-29,"13",Перемаркировка,1,1,1,432
2022-02-21,"11",Маркировка остатков,2,3,1,5
2022-04-11,"38",Возврат,4,6,5,6
2021-11-22,"74",Маркировка остатков,2,2,2,2
2022-06-16,"24",Перемаркировка,1,1,1,1
2022-05-22,"78",Возврат,5,30,22,33
2022-09-19,"77",Импорт. ЕАЭС,3,89,2,4665
2022-05-23,"33",РФ,1,5,1,131
2021-12-21,"38",Маркировка остатков,2,10,3,22
2022-04-22,"52",Маркировка остатков,1,1,1,1
2022-10-26,"23",Маркировка остатков,1,1,1,1
2021-12-01,"58",Маркировка остатков,1,2,1,27
2022-08-27,"71",Маркировка остатков,1,1,1,1
2022-02-05,"53",Перемаркировка,1,15,13,33
2022-09-08,"11",Маркировка остатков,1,1,1,1
2022-10-06,"50",Перемаркировка,1,25,1,219
2022-10-27,"77",Перемаркировка,15,427,356,1818
2022-04-24,"56",РФ,1,19,1,31
2022-10-16,"77",Импорт. Не ЕАЭС,7,19,10,10089
2022-07-23,"66",Перемаркировка,3,4,3,7
2021-11-26,"38",Возврат,2,2,2,2
2021-12-21,"78",Возврат,10,33,22,38
2021-12-03,"23",Маркировка остатков,5,6,3,1985
2022-04-08,"49",Маркировка остатков,1,1,1,1
2022-10-28,"58",Маркировка остатков,1,1,1,2
2021-12-15,"43",Маркировка остатков,2,35,2,54
2022-02-19,"71",Маркировка остатков,1,1,1,1
2022-09-29,"55",Возврат,3,11,10,11
2021-12-31,"51",Перемаркировка,1,6,6,13
2022-06-25,"54",Возврат,1,1,1,1
2022-01-06,"16",Возврат,3,3,3,3
2022-05-31,"91",Возврат,1,1,1,1
2021-12-12,"56",Возврат,4,4,4,4
2022-05-11,"47",Возврат,1,1,1,1
2022-08-13,"53",Перемаркировка,1,3,3,3
2022-05-19,"70",Возврат,1,1,1,1
2022-11-03,"22",Возврат,1,10,2,15
2022-05-27,"23",Возврат,2,53,25,66
2022-08-23,"71",Возврат,1,1,1,1
2021-11-28,"50",Импорт. Не ЕАЭС,1,1,1,3
2022-03-02,"32",Возврат,1,1,1,1
2021-12-04,"61",Возврат,1,2,2,2
2021-12-22,"16",РФ,1,1,1,40
2022-04-28,"32",Маркировка остатков,1,2,2,2
2021-12-15,"58",Маркировка остатков,1,2,1,23
2022-09-13,"26",Маркировка остатков,1,5,1,5
2021-12-03,"77",Импорт. Не ЕАЭС,18,372,49,407409
2021-12-08,"77",Перемаркировка,18,118,49,501
2021-12-03,"38",Маркировка остатков,5,9,6,9
2022-07-03,"63",Возврат,1,1,1,1
2022-04-08,"52",Маркировка остатков,1,1,1,1
2022-06-07,"63",Возврат,2,2,2,2
2021-12-05,"72",Маркировка остатков,1,1,1,1
2022-05-14,"30",Возврат,1,1,1,1
2022-01-31,"77",Маркировка остатков,5,18,6,2633
2022-04-14,"18",Перемаркировка,1,96,49,389
2022-04-26,"78",Маркировка остатков,1,1,1,1
2022-04-26,"54",Перемаркировка,3,36,13,145
2022-02-17,"72",Возврат,2,2,2,4
2022-10-04,"22",Возврат,3,7,6,9
2022-09-26,"71",Возврат,2,2,2,2
2022-06-30,"23",Возврат,1,43,25,57
2022-04-11,"47",Возврат,1,4,2,4
2022-04-04,"91",Маркировка остатков,1,14,9,22
2022-01-19,"05",Возврат,1,1,1,1
2022-04-16,"26",РФ,1,1,1,1
2022-02-25,"45",Возврат,2,2,2,2
2021-11-29,"16",Возврат,1,2,2,2
2022-11-06,"55",Возврат,2,5,5,5
2022-05-30,"54",Возврат,1,1,1,1
2022-08-10,"68",Возврат,1,1,1,1
2022-04-26,"63",Маркировка остатков,1,1,1,1
2022-09-15,"77",Маркировка остатков,1,7,2,8
2022-04-06,"03",Маркировка остатков,1,1,1,3
2021-12-26,"38",Возврат,2,3,2,3
2022-03-26,"29",Возврат,1,1,1,1
2022-09-02,"28",Возврат,3,3,3,3
2022-07-13,"57",Перемаркировка,1,2,2,3
2021-11-26,"45",Маркировка остатков,2,2,2,4
2022-06-03,"50",Маркировка остатков,2,2,2,2
2022-06-17,"77",РФ,4,25,5,7238
2022-08-05,"02",Перемаркировка,1,1,1,1
2022-01-03,"27",Перемаркировка,2,2,2,4
2021-12-21,"52",Импорт. ЕАЭС,1,39,1,49430
2022-08-28,"24",Перемаркировка,1,2,1,94
2022-04-04,"78",Перемаркировка,6,31,17,96
2022-02-08,"16",Маркировка остатков,1,152,36,200
2022-02-20,"76",Маркировка остатков,2,2,2,2
2022-06-28,"48",Возврат,1,1,1,1
2021-12-16,"44",Маркировка остатков,1,1,1,2
2022-07-14,"26",Возврат,5,7,7,7
2022-02-22,"24",Перемаркировка,2,5,2,50
2021-12-04,"24",Маркировка остатков,5,7,3,15
2022-01-28,"21",Маркировка остатков,1,1,1,1
2021-12-20,"64",Возврат,2,4,4,4
2021-11-27,"24",Возврат,2,2,2,2
2022-03-11,"77",Возврат,32,458,113,1031
2022-06-17,"66",Возврат,3,83,51,105
2022-04-30,"02",Возврат,3,4,3,5
2022-11-16,"50",Возврат,6,55,8,116
2022-02-08,"25",Перемаркировка,1,2,1,31
2022-06-09,"51",Возврат,1,2,2,2
2022-03-19,"40",Возврат,1,1,1,1
2022-02-11,"25",Импорт. Не ЕАЭС,1,33,1,220
2021-12-28,"53",Возврат,1,4,4,4
2022-06-15,"36",Перемаркировка,1,1,1,1
2022-08-26,"76",Маркировка остатков,1,1,1,2
2022-03-24,"42",Возврат,2,2,2,2
2022-06-22,"11",Возврат,1,1,1,1
2022-02-06,"47",Маркировка остатков,1,1,1,2
2021-11-25,"42",Маркировка остатков,3,3,3,4
2022-04-27,"42",Возврат,6,13,7,15
2022-02-18,"27",Маркировка остатков,2,3,2,5
2022-02-08,"59",Перемаркировка,1,1,1,66
2022-01-13,"87",Маркировка остатков,1,3,3,3
2021-12-15,"13",Возврат,1,1,1,1
2022-10-21,"50",Возврат,8,126,9,333
2022-11-03,"31",Перемаркировка,1,1,1,1
2022-09-11,"03",Возврат,2,3,2,3
2022-07-17,"51",Возврат,1,2,2,2
2022-07-25,"66",Возврат,3,65,42,68
2022-03-27,"35",Возврат,1,1,1,1
2021-12-23,"24",Возврат,3,3,3,3
2022-09-07,"50",РФ,6,27,9,100524
2022-02-01,"77",Возврат,30,257,74,547
2022-11-17,"22",Импорт. ЕАЭС,1,18,1,4354
2022-09-06,"42",РФ,1,3,2,95
2022-06-03,"54",РФ,1,4,1,407
2022-06-14,"26",Возврат,2,2,2,2
2022-07-02,"56",Маркировка остатков,1,1,1,1
2022-05-22,"53",Маркировка остатков,1,2,2,2
2022-01-08,"39",Маркировка остатков,2,3,3,11
2022-06-12,"36",Маркировка остатков,2,2,1,2
2022-04-14,"23",Импорт. Не ЕАЭС,1,4,1,40
2022-10-29,"64",РФ,1,1,1,1
2022-02-28,"59",Возврат,1,1,1,1
2021-11-25,"59",Маркировка остатков,1,2,2,2
2022-03-31,"33",Маркировка остатков,1,1,1,1
2022-08-03,"33",Перемаркировка,1,1,1,1
2022-04-29,"22",Перемаркировка,1,1,1,1
2022-01-13,"16",Перемаркировка,2,16,10,20
2022-08-16,"63",Импорт. ЕАЭС,1,2,1,4
2022-03-15,"10",Маркировка остатков,1,1,1,1
2021-12-06,"75",Маркировка остатков,2,2,2,6
2022-02-24,"47",Принято от физического лица,1,1,1,5
2022-10-26,"59",Возврат,1,1,1,1
2022-07-22,"58",Возврат,1,1,1,1
2022-10-05,"02",Перемаркировка,1,1,1,1
2021-12-16,"78",РФ,2,89,3,842
2022-06-09,"18",Возврат,1,1,1,1
2022-04-16,"74",Маркировка остатков,3,3,1,4
2022-11-16,"19",Возврат,1,1,1,1
2022-01-03,"52",Маркировка остатков,1,1,1,1
2022-03-22,"58",Маркировка остатков,2,3,2,5
2022-11-15,"24",Перемаркировка,2,8,6,26
2022-03-17,"27",Перемаркировка,1,1,1,2
2022-02-15,"37",Маркировка остатков,2,2,2,3
2022-05-25,"78",Перемаркировка,4,149,66,447
2022-11-03,"74",РФ,1,21,3,2575
2022-04-17,"52",Возврат,1,1,1,1
2022-09-24,"53",Возврат,1,3,3,3
2021-12-01,"86",Возврат,2,2,2,2
2022-01-05,"43",Возврат,1,2,1,2
2022-07-15,"56",РФ,1,32,2,40
2022-02-23,"50",Возврат,5,16,9,17
2021-12-11,"05",Маркировка остатков,2,6,3,10
2022-03-06,"60",Маркировка остатков,2,4,3,4
2021-12-23,"65",Маркировка остатков,1,1,1,1
2022-10-31,"77",Возврат,29,334,72,95462
2022-03-22,"43",Маркировка остатков,1,1,1,1
2022-05-16,"25",Возврат,1,1,1,1
2022-08-20,"24",Возврат,3,4,4,4
2022-01-03,"49",Маркировка остатков,1,1,1,2
2022-05-13,"23",Маркировка остатков,2,2,2,2
2022-08-31,"37",Маркировка остатков,1,1,1,1
2022-03-03,"67",Возврат,3,5,5,5
2022-07-07,"26",Маркировка остатков,1,1,1,2
2022-01-13,"74",Возврат,1,1,1,1
2022-01-21,"27",Возврат,1,3,3,3
2021-11-24,"52",Импорт. ЕАЭС,1,49,1,895
2022-09-16,"64",Возврат,1,1,1,1
2022-07-06,"36",Возврат,1,1,1,1
2022-11-07,"77",Принято от физического лица,1,75,43,146
2022-10-10,"37",Возврат,1,1,1,1
2022-06-06,"36",Возврат,2,2,2,2
2022-08-17,"64",Возврат,4,4,4,6
2022-09-20,"16",Перемаркировка,1,4,4,4
2022-02-20,"27",Возврат,1,1,1,1
2022-01-01,"03",Маркировка остатков,1,1,1,1
2022-01-26,"74",РФ,1,11,2,2250
2022-09-09,"31",Перемаркировка,1,1,1,1
2022-04-20,"25",Возврат,4,6,5,6
2022-10-05,"77",Возврат,24,270,59,734
2022-07-01,"76",Возврат,1,1,1,1
2022-09-27,"24",Возврат,2,3,2,3
2022-02-13,"66",Маркировка остатков,2,2,1,2
2022-10-22,"34",Маркировка остатков,1,1,1,1
2022-04-14,"25",Маркировка остатков,1,1,1,1
2022-01-16,"50",Возврат,4,5,4,5
2022-10-17,"91",Маркировка остатков,1,2,1,3
2021-12-02,"43",Возврат,1,1,1,2
2022-08-04,"78",РФ,2,36,3,126
2022-08-25,"53",Возврат,1,2,2,2
2022-06-16,"23",Импорт. Не ЕАЭС,1,4,1,59
2022-10-07,"33",Перемаркировка,1,1,1,1
2022-03-24,"12",Маркировка остатков,1,1,1,1
2022-10-11,"03",Маркировка остатков,1,1,1,1
2022-08-29,"66",Маркировка остатков,2,2,2,2
2022-07-09,"77",Маркировка остатков,6,12,6,14
2022-03-20,"16",Импорт. Не ЕАЭС,1,1,1,1
2022-10-28,"59",Перемаркировка,1,153,68,203
2022-09-09,"22",РФ,1,2,1,4
2021-12-03,"13",РФ,1,6,1,103
2022-10-21,"19",Возврат,1,1,1,1
2022-03-08,"31",Маркировка остатков,1,1,1,1
2022-03-07,"16",Перемаркировка,1,3,3,3
2022-02-09,"09",Возврат,1,1,1,2
2021-12-25,"34",Маркировка остатков,1,1,1,1
2021-12-30,"91",Маркировка остатков,5,66,46,424
2022-06-22,"58",Возврат,1,1,1,1
2022-09-13,"78",Возврат,4,32,25,33
2022-08-01,"50",Импорт. Не ЕАЭС,1,59,6,624
2022-08-04,"50",Перемаркировка,2,20,2,540
2021-12-10,"53",Перемаркировка,1,15,12,30
2022-01-14,"68",Возврат,1,2,1,2
2022-08-15,"77",Перемаркировка,17,123,60,698
2022-08-26,"77",Импорт. Не ЕАЭС,9,173,35,150849
2022-08-18,"50",Маркировка остатков,5,6,3,16
2022-01-12,"38",Перемаркировка,1,3,3,3
2022-05-11,"66",Перемаркировка,2,116,26,249
2021-12-12,"02",Маркировка остатков,2,2,2,2
2022-10-15,"72",Возврат,2,2,2,2
2022-02-06,"50",РФ,3,97,3,66403
2022-03-20,"51",Перемаркировка,1,5,5,6
2022-10-03,"20",РФ,1,7,1,18
2022-04-04,"77",РФ,6,36,7,35193
2022-06-30,"65",Перемаркировка,1,1,1,1
2021-12-21,"31",Возврат,1,1,1,1
2021-11-26,"71",Возврат,1,1,1,1
2022-10-06,"32",РФ,1,5,1,30
2022-03-10,"22",Возврат,1,1,1,1
2022-07-30,"61",Возврат,1,1,1,1
2022-06-20,"33",Возврат,1,1,1,1
2022-02-28,"50",Маркировка остатков,8,50,28,122
2022-11-19,"05",Возврат,2,3,1,3
2022-01-29,"50",Перемаркировка,1,40,1,131
2022-10-29,"53",Перемаркировка,1,1,1,1
2022-08-07,"56",Возврат,1,2,1,2
2022-06-16,"64",Перемаркировка,1,1,1,1
2022-02-12,"77",Импорт. Не ЕАЭС,13,108,26,69534
2022-06-05,"43",Перемаркировка,1,1,1,1
2022-02-07,"55",Возврат,5,8,8,10
2022-08-28,"16",Возврат,2,3,3,3
2022-07-19,"44",Возврат,1,1,1,1
2022-10-04,"74",Перемаркировка,1,1,1,1
2022-02-07,"77",Перемаркировка,16,189,76,1847
2022-03-21,"17",Возврат,1,1,1,1
2022-06-23,"44",Возврат,1,2,1,3
2022-08-02,"16",Возврат,2,7,5,10
2022-11-02,"63",Перемаркировка,1,1,1,1
2022-07-06,"54",Перемаркировка,1,14,5,26
2022-03-05,"55",Возврат,7,21,12,29
2022-03-07,"36",Маркировка остатков,1,1,1,1
2021-12-26,"33",Маркировка остатков,3,4,2,5
2022-05-05,"59",Маркировка остатков,1,1,1,1
2021-12-18,"46",Возврат,1,1,1,1
2022-10-20,"05",Возврат,2,4,1,4
2022-02-27,"47",Перемаркировка,1,4,1,4
2022-04-15,"39",Маркировка остатков,2,2,2,6
2022-09-10,"56",Возврат,1,1,1,1
2021-12-14,"53",Маркировка остатков,2,3,2,3
2022-07-24,"33",Возврат,1,1,1,1
2022-06-30,"19",Перемаркировка,1,1,1,3
2022-10-28,"32",Возврат,1,1,1,1
2022-06-20,"10",Маркировка остатков,1,1,1,1
2022-02-04,"22",Возврат,1,1,1,1
2022-08-10,"21",Возврат,1,1,1,1
2022-10-21,"33",Маркировка остатков,2,4,2,5
2022-05-24,"27",Маркировка остатков,1,1,1,1
2022-11-02,"53",Маркировка остатков,1,1,1,6
2021-12-26,"28",Маркировка остатков,1,1,1,1
2022-09-24,"56",Маркировка остатков,1,1,1,1
2022-09-26,"38",Возврат,2,2,1,2
2022-05-13,"15",РФ,1,11,3,90031
2021-12-07,"68",Возврат,1,1,1,1
2022-08-18,"78",Возврат,6,56,41,58
2022-04-18,"54",РФ,1,1,1,1968
2022-03-12,"77",Перемаркировка,4,7,5,12
